0,7,8,9
Date,CDD,Precipitation,New Snow
2023-01-01,0,T,0.0
2023-01-02,9,0.00,0.0
2023-01-03,8,0.12,0.0
2023-01-04,2,0.44,0.0
2023-01-05,0,0.00,0.0
2023-01-06,0,0.00,0.0
2023-01-07,0,0.00,0.0
2023-01-08,0,0.92,0.0
2023-01-09,0,0.00,0.0
2023-01-10,0,0.00,0.0
2023-01-11,8,0.00,0.0
2023-01-12,1,T,0.0
2023-01-13,0,0.00,0.0
2023-01-14,0,0.00,0.0
2023-01-15,0,0.00,0.0
2023-01-16,0,0.00,0.0
2023-01-17,8,0.02,0.0
2023-01-18,7,0.00,0.0
2023-01-19,1,0.44,0.0
2023-01-20,0,T,0.0
2023-01-21,0,0.14,0.0
2023-01-22,0,0.01,0.0
2023-01-23,0,0.00,0.0
2023-01-24,0,0.44,M
2023-01-25,0,T,0.0
2023-01-26,0,0.00,0.0
2023-01-27,0,0.00,0.0
2023-01-28,0,0.00,0.0
2023-01-29,3,0.38,0.0
2023-01-30,9,0.00,0.0
2023-01-31,3,T,0.0
,,,
,,,
,,,
,,,
,,,
Date,CDD,Precipitation,New Snow
2023-02-01,0,T,0.0
2023-02-02,0,0.11,M
2023-02-03,0,0.01,M
2023-02-04,0,0.00,0.0
2023-02-05,0,0.00,0.0
2023-02-06,0,0.00,0.0
2023-02-07,3,T,0.0
2023-02-08,8,1.95,0.0
2023-02-09,0,0.25,0.0
2023-02-10,0,0.01,0.0
2023-02-11,0,0.06,0.0
2023-02-12,0,0.00,0.0
2023-02-13,0,0.00,0.0
2023-02-14,0,T,0.0
2023-02-15,7,T,0.0
2023-02-16,2,0.20,0.0
2023-02-17,0,0.14,M
2023-02-18,0,0.00,0.0
2023-02-19,0,0.00,0.0
2023-02-20,3,0.00,0.0
2023-02-21,10,0.00,0.0
2023-02-22,10,0.00,0.0
2023-02-23,12,0.00,0.0
2023-02-24,11,0.00,0.0
2023-02-25,10,0.00,0.0
2023-02-26,8,0.00,0.0
2023-02-27,12,0.00,0.0
2023-02-28,12,0.00,0.0
Sum,108,2.73,0.0
Average,-,-,-
Normal,32,4.13,0.0
,,,
,,,
,,,
,,,
,,,
Date,CDD,Precipitation,New Snow
2023-03-01,13,0.00,0.0
2023-03-02,13,0.00,0.0
2023-03-03,4,0.01,0.0
2023-03-04,1,0.00,0.0
2023-03-05,4,0.00,0.0
2023-03-06,11,0.00,0.0
2023-03-07,11,T,0.0
2023-03-08,11,0.00,0.0
2023-03-09,11,0.00,0.0
2023-03-10,7,0.05,0.0
2023-03-11,7,0.00,0.0
2023-03-12,8,0.01,0.0
2023-03-13,0,T,0.0
2023-03-14,0,0.01,M
2023-03-15,0,0.00,0.0
2023-03-16,0,0.00,0.0
2023-03-17,0,1.66,0.0
2023-03-18,0,T,M
2023-03-19,0,0.00,0.0
2023-03-20,0,0.00,0.0
2023-03-21,0,0.00,0.0
2023-03-22,2,0.00,0.0
2023-03-23,7,0.00,0.0
2023-03-24,10,T,0.0
2023-03-25,14,0.00,0.0
2023-03-26,15,T,0.0
2023-03-27,13,0.06,0.0
2023-03-28,7,0.33,0.0
2023-03-29,0,0.02,0.0
2023-03-30,0,0.00,0.0
2023-03-31,9,0.00,0.0
,,,
,,,
,,,
,,,
,,,
Date,CDD,Precipitation,New Snow
2023-04-01,11,T,0.0
2023-04-02,7,0.00,0.0
2023-04-03,15,T,0.0
2023-04-04,14,0.00,0.0
2023-04-05,15,0.00,0.0
2023-04-06,14,0.00,0.0
2023-04-07,7,0.38,0.0
2023-04-08,5,0.03,0.0
2023-04-09,0,0.01,0.0
2023-04-10,2,0.01,0.0
2023-04-11,3,0.00,0.0
2023-04-12,2,0.02,M
2023-04-13,1,0.00,M
2023-04-14,4,0.00,0.0
2023-04-15,8,1.43,0.0
2023-04-16,0,0.55,0.0
2023-04-17,0,0.00,0.0
2023-04-18,0,0.00,0.0
2023-04-19,6,0.00,0.0
2023-04-20,10,0.00,0.0
2023-04-21,8,0.10,0.0
2023-04-22,5,0.00,0.0
2023-04-23,6,T,0.0
2023-04-24,0,T,0.0
2023-04-25,6,0.00,0.0
2023-04-26,10,0.00,0.0
2023-04-27,11,0.56,0.0
2023-04-28,10,0.00,0.0
2023-04-29,6,0.07,0.0
2023-04-30,4,0.00,0.0
Sum,190,3.16,0.0
,,,
,,,
,,,
,,,
,,,
Date,CDD,Precipitation,New Snow
2023-05-01,7,0.00,0.0
2023-05-02,6,0.00,0.0
2023-05-03,10,0.00,0.0
2023-05-04,11,0.00,0.0
2023-05-05,14,0.02,0.0
2023-05-06,8,1.83,0.0
2023-05-07,11,0.00,0.0
2023-05-08,14,T,0.0
2023-05-09,15,0.19,0.0
2023-05-10,15,0.02,0.0
2023-05-11,15,0.00,0.0
2023-05-12,17,0.00,0.0
2023-05-13,16,0.26,0.0
2023-05-14,17,0.00,0.0
2023-05-15,18,T,0.0
2023-05-16,16,0.00,0.0
2023-05-17,15,T,0.0
2023-05-18,14,T,0.0
2023-05-19,16,0.00,0.0
2023-05-20,19,0.89,0.0
2023-05-21,14,0.01,0.0
2023-05-22,15,0.00,0.0
2023-05-23,15,0.05,0.0
